Player,Starts,Min,W,D,L,GA,GA90,PKA,FK,CK,OG,SoTA,PSxG,PSxGD,Saves,SavePercent,LaunchCmp,LaunchAtt,PassAtt,Thr,PassLaunchPercent,PassAvgLen,GKAtt,GKLaunchPercent,GKAvgLen,CrossAtt,CrossStop,DefOPA,DefAvgDist
Julen Agirrezabala,2,238,1,0,1,4,1.51,0,0,0,0,12,2.4,-1.6,8,66.7,18,49,78,20,35.9,32.4,22,95.5,64.5,41,2,3,15.3
Alisson,28,"2,520",16,8,4,30,1.07,1,0,4,1,109,28.7,-0.3,80,73.4,60,183,1021,140,14.1,24.7,116,33.6,33.3,299,13,33,17.7
Alphonse Areola,31,"2,699",11,9,11,53,1.77,5,0,3,3,188,52.1,2.1,136,74.5,160,430,643,144,43.9,36.8,219,67.6,47.3,468,27,7,8.9
Simone Aresti,0,1,0,0,0,1,90,1,0,0,0,1,1,0,0,100,0,1,1,0,100,64,0,,,3,0,0,
Kepa Arrizabalaga,13,"1,198",10,2,1,9,0.68,0,0,0,1,38,10,2,30,76.3,34,92,386,57,19.2,27,70,25.7,30.6,157,6,10,14.7
Noah Atubolu,34,"3,060",11,9,14,58,1.71,3,1,5,1,158,50,-7,99,65.2,193,568,1148,160,35.4,34.2,241,67.2,50.7,485,31,30,13.6
Emil Audero,4,337,2,1,1,3,0.8,0,0,0,0,11,3.1,0.1,8,72.7,6,24,177,28,11.9,24.6,18,16.7,27.2,54,6,2,10.2
Nicola Bagnolini,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,100,1,2,1,0,100,47,2,50,53,0,0,0,
Augusto Batalla,17,"1,530",3,4,10,28,1.65,0,0,6,0,86,22.6,-5.4,58,67.4,127,354,566,78,45.8,39.4,122,77.9,55.9,275,23,18,14.2
Daniel Batz,4,360,0,2,2,3,0.75,0,1,0,0,17,2.4,-0.6,14,82.4,18,58,132,14,38.6,34.7,21,33.3,34.8,38,4,2,11.3
Oliver Baumann,34,"3,060",13,7,14,66,1.94,2,3,9,1,211,68.6,3.6,143,69.7,208,529,1159,165,33.7,32.7,249,55.4,44.9,545,31,73,16.7
Alaa Bellaarouch,15,"1,350",4,2,9,26,1.73,3,0,1,1,63,19.8,-5.2,37,63.5,56,183,440,57,36.4,34.4,61,37.7,36,203,19,21,13.4
Daniel Bentley,3,383,1,0,2,7,1.64,0,0,0,0,15,5.8,-1.2,8,53.3,13,56,111,9,36,33.8,33,48.5,36.9,50,0,3,13.3
Etrit Berisha,14,"1,260",3,3,8,25,1.79,2,0,5,1,74,20.7,-3.3,49,68.9,44,184,400,75,34.8,33,90,50,40.8,236,11,10,12.4
Dimitry Bertaud,4,360,1,1,2,11,2.75,0,0,1,0,34,10.9,-0.1,23,67.6,18,61,118,26,42.4,38,23,47.8,42.5,56,3,0,9.6
Marco Bizot,32,"2,876",15,10,7,34,1.06,2,0,4,0,129,36.2,2.2,94,75.2,232,482,908,134,39.3,35.1,188,66.5,47.3,382,18,41,15.7
Rubén Blanco,1,121,0,0,1,2,1.49,0,0,0,0,6,1.3,-0.7,4,66.7,5,12,41,6,26.8,28.4,10,10,27,24,4,1,10.4
Janis Blaswich,21,"1,890",10,4,7,30,1.43,4,0,7,0,76,25.3,-4.7,46,65.8,57,155,822,89,14.7,25.7,134,25.4,30.7,251,16,37,17.6
Yassine Bounou,1,90,0,0,1,2,2,0,0,0,0,3,1.1,-0.9,1,33.3,6,16,24,4,41.7,36.1,7,85.7,57.4,9,0,0,
Claudio Bravo,7,630,3,4,0,5,0.71,0,0,0,1,20,5.5,1.5,16,75,38,80,169,30,30.2,30.6,60,48.3,40.1,101,4,6,12.6
Fabian Bredlow,4,360,3,1,0,3,0.75,0,0,1,0,22,5,2,19,86.4,22,61,168,15,31.5,31,11,72.7,51.7,55,1,5,16.6
Alexander Brunst,3,270,0,1,2,10,3.33,0,0,2,0,17,6.3,-3.7,7,41.2,33,72,129,13,41.1,36,21,90.5,59.6,51,3,9,19.1
Marcin Bułka,34,"3,060",15,10,9,29,0.85,5,0,1,1,105,30.7,2.7,74,77.1,74,189,1086,158,14.4,23.9,147,22.4,25.5,376,32,21,12.2
Elia Caprile,23,"2,070",6,6,11,27,1.17,4,0,5,0,106,27.6,0.6,78,78.3,117,350,657,137,40.3,36.8,159,53.5,45.1,391,31,20,13.3
Cárdenas,1,90,0,0,1,1,1,0,0,0,0,1,0.9,-0.1,0,0,2,15,36,5,36.1,36.3,4,50,53.5,5,0,2,17
Marco Carnesecchi,27,"2,425",15,5,7,30,1.11,4,0,2,0,107,29.3,-0.7,75,75.7,121,338,680,142,30.6,33.8,193,67.4,51.7,332,20,39,14.7
Koen Casteels,25,"2,250",8,6,11,39,1.56,2,0,2,2,115,36.4,-0.6,78,67.8,161,390,786,118,36.3,35,161,65.2,48.4,335,25,38,15.7
Michele Cerofolini,7,675,2,2,3,11,1.47,0,0,1,1,28,5.9,-4.1,18,60.7,18,100,171,28,47.4,37.2,38,50,42.8,126,4,7,14.3
Lucas Chevalier,33,"2,969",16,10,7,32,0.97,3,0,2,2,123,35.7,5.7,91,76.4,101,344,1059,121,26.5,29.6,123,51.2,44.5,388,25,28,12.7
Oliver Christensen,4,360,1,1,2,9,2.25,2,0,0,0,19,4.7,-4.3,10,63.2,23,61,170,15,31.8,31,20,35,33.7,32,1,9,19.5
Andrea Consigli,35,"3,150",6,8,21,68,1.94,7,1,7,3,159,51.7,-13.3,93,61.6,172,540,982,143,42.3,36.9,252,49.6,41.2,545,23,22,11.8
Nikita Contini Baranovsky,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,1,0,17,1,0,15,1,0,3,37
Benoît Costil,13,"1,170",2,3,8,29,2.23,3,0,2,1,66,23.6,-4.4,38,60.6,71,228,323,45,48,37,104,70.2,51.1,212,2,19,18.2
Grégoire Coudert,2,181,2,0,0,0,0,0,0,0,0,4,0.3,0.3,4,100,12,36,70,10,41.4,37.2,10,70,55.4,24,0,2,23
Thibaut Courtois,4,332,3,1,0,0,0,0,0,0,0,15,3.1,3.1,15,100,10,19,105,25,16.2,26.7,18,11.1,27.8,47,2,5,15.3
Alessio Cragno,3,270,1,1,1,7,2.33,1,1,1,1,14,5.1,-0.9,8,57.1,17,45,78,11,50,37.8,22,27.3,30.5,37,3,8,18.6
Cristian,0,57,0,0,0,1,1.58,0,0,1,0,3,0.5,-0.5,2,66.7,2,5,15,4,26.7,29.1,3,33.3,32.7,12,0,0,8.3
Iván Cuéllar,1,90,1,0,0,1,1,0,0,0,0,6,1.2,0.2,5,83.3,1,11,32,8,31.3,33,3,33.3,35.7,6,1,0,7
Finn Dahmen,31,"2,790",10,9,12,52,1.68,7,0,10,2,158,49.3,-0.7,106,71.5,169,450,1151,92,30.8,32.4,187,51.3,44.3,484,28,50,15
Rémy Descamps,6,540,2,2,2,11,1.83,1,0,0,0,37,12.5,1.5,26,73,51,125,141,28,51.1,40.3,71,74.6,49.8,116,8,0,7.8
Arthur Desmas,33,"2,970",7,11,15,43,1.3,1,0,5,2,153,47,6,111,72.5,155,454,719,135,46.9,37.1,222,52.7,39.1,470,32,24,12.5
Raffaele Di Gennaro,0,23,0,0,0,0,0,0,0,0,0,4,0.5,0.5,4,100,1,2,15,3,13.3,25.2,1,0,10,4,0,0,
Michele Di Gregorio,33,"2,872",11,11,11,35,1.1,3,1,5,0,159,45.4,10.4,122,79.9,179,430,1126,201,27.8,30.6,223,52.5,44.2,469,19,18,11.5
Mory Diaw,30,"2,700",4,8,18,54,1.8,6,0,5,1,188,57.1,4.1,134,74.5,206,558,1065,129,42.8,36.7,176,58,44.5,439,39,46,14.4
Guillaume Dietsch,0,73,0,0,0,1,1.23,0,0,0,0,3,0.8,-0.2,2,66.7,6,16,19,3,47.4,36.4,7,100,63,14,1,0,3
Stole Dimitrievski,37,"3,330",8,14,15,47,1.27,1,1,5,2,150,46.9,1.9,104,69.3,168,598,928,171,47.1,39.4,267,60.3,48.4,529,23,38,14.6
Yehvann Diouf,34,"3,060",13,8,13,47,1.38,6,1,4,1,137,42.7,-3.3,90,70.1,124,353,1135,179,25.2,30.1,157,42.7,36.9,522,38,46,14.2
Marko Dmitrović,13,"1,170",2,2,9,25,1.92,2,0,3,1,68,22.6,-1.4,44,66.2,52,148,314,70,32.5,32.7,79,58.2,45.9,152,11,15,15.4
Jaume Doménech,1,79,0,0,1,3,3.42,0,1,2,0,12,1.7,-1.3,9,75,4,20,24,2,62.5,40.5,7,71.4,51.4,19,1,1,11.4
Gianluigi Donnarumma,25,"2,169",18,6,1,20,0.83,3,0,2,0,110,30.3,10.3,89,84.5,36,94,641,113,11.4,24.2,131,16,23,294,15,23,13.2
Martin Dúbravka,22,"1,985",9,4,9,42,1.9,4,0,5,0,130,42.2,0.2,87,70.8,56,165,480,143,15.6,25.4,169,53.3,39.1,296,20,22,12.9
Ederson,33,"2,785",24,6,3,27,0.87,3,0,2,1,82,27.2,1.2,56,70.7,114,246,1120,137,18.3,27.2,114,36,36.3,247,25,50,17.3
Aarón Escandell,1,153,0,0,1,3,1.76,0,0,0,0,4,2.5,-0.5,1,25,9,26,73,10,27.4,30.4,12,50,41.3,24,1,4,18
Łukasz Fabiański,7,721,3,1,3,21,2.62,3,0,3,1,53,19.8,-0.2,33,66,50,123,182,44,50,39,56,57.1,45.1,114,8,1,7.6
Wladimiro Falcone,38,"3,420",8,14,16,54,1.42,5,1,7,1,173,53.2,0.2,119,71.7,152,489,893,159,42.6,34.9,248,44,35.2,522,20,20,11
Aitor Fernández,6,551,0,2,4,9,1.47,1,0,2,0,20,6.1,-2.9,11,60,47,113,174,19,56.3,42.5,22,68.2,49.7,69,1,15,24.8
Raúl Fernández,4,280,1,0,3,11,3.54,0,0,1,1,17,7.8,-2.2,7,35.3,14,47,88,10,37.5,35.7,17,82.4,62.1,36,4,11,17.3
Fernando,4,360,1,1,2,10,2.5,0,0,1,0,23,8.5,-1.5,13,56.5,22,67,133,28,39.8,35.6,26,53.8,44,72,4,7,14.5
André Ferreira,14,"1,340",0,5,9,29,1.95,3,0,2,1,77,27.8,-0.2,49,66.2,73,186,388,88,31.4,32.2,110,58.2,44.3,195,6,13,12.6
Vincenzo Fiorillo,4,360,0,2,2,8,2,0,0,4,0,26,7.3,-0.7,18,69.2,27,96,72,9,68.1,44.9,54,87,56.6,77,4,1,7.6
