Squad,Comp,MP,G,npG,xG,npxG,GA,SoTA,Saves,W,D,L,pGA,OG,PSxG,LaunchCmp,LaunchAtt,PassAtt,PassLaunchPercent,PassAvgLen,GK,GKLaunchPercent,GKAvgLen,CrossAtt,CrossBlock,DefOPA,DefAvgDist
Alavés,es La Liga,38,33,30,46.2,40.7,46,147,103,12,10,16,8,2,44.8,315,778,886,62.2,41.7,335,67.8,48.4,530,29,37,15.2
Almería,es La Liga,38,42,40,48.7,47.1,75,202,126,3,12,23,6,0,70.3,181,615,1115,39.5,24.1,330,53,41.7,629,29,47,22.7
Arsenal,eng Premier League,38,86,76,76.1,68.5,29,83,54,28,5,5,2,1,24.1,157,441,1058,35.1,33.3,195,35.9,31.1,375,48,59,14.6
Aston Villa,eng Premier League,38,72,68,63.3,60.3,61,173,115,20,8,10,1,4,61.9,136,380,1386,21.8,27.1,246,31.7,29.5,419,51,70,8.4
Atalanta,it Serie A,38,72,67,57.8,53.9,42,142,99,21,6,11,6,1,39.8,161,459,974,28.9,29.6,270,65.9,50.1,444,30,55,16.7
Athletic Club,es La Liga,38,59,56,52.7,48.7,37,134,98,19,11,8,1,4,40.4,238,728,1050,48,32.4,272,82.4,59.3,491,33,49,15.3
Atlético Madrid,es La Liga,38,68,63,62.4,57.9,43,144,101,24,4,10,1,0,39.8,114,336,725,27.2,31.5,298,46.6,39,579,36,22,11.8
Augsburg,de Bundesliga,34,49,44,46.1,40.7,60,183,123,10,9,15,7,2,56,185,490,1172,32.5,34.5,264,41.3,37.4,520,30,52,11.6
Barcelona,es La Liga,38,76,70,77.6,72.1,44,141,97,26,7,5,2,0,41.6,113,216,1076,14.7,26.3,255,22.7,27.9,450,15,36,15.6
Bayern Munich,de Bundesliga,34,93,88,85.2,81.3,45,124,78,23,3,8,3,0,41,99,242,1072,20.4,33.1,216,10.6,20.9,341,14,48,
Betis,es La Liga,38,46,44,43.9,41.7,45,158,115,14,15,9,7,3,47.5,180,510,1022,35.2,30.6,279,53.8,42.6,541,38,42,12.6
Bochum,de Bundesliga,34,41,37,44.5,41.4,74,189,117,7,12,15,9,4,62.3,450,1084,1497,63.5,51.3,258,51.9,41.2,523,35,104,7.7
Bologna,it Serie A,38,52,48,47.9,44,32,125,91,18,14,6,3,1,32.1,118,348,941,26.5,29.6,285,34.7,33.2,505,13,19,12.2
Bournemouth,eng Premier League,38,52,50,55.9,53.6,67,194,127,13,9,16,6,1,63.2,199,581,976,44,26.9,266,57.1,43.9,492,31,37,9.6
Brentford,eng Premier League,38,54,51,58.2,56,65,184,119,10,9,19,2,0,57,254,677,1330,37.1,35.8,318,57.5,44.9,605,46,38,10
Brest,fr Ligue 1,34,51,47,48.3,45.1,34,133,98,17,10,7,2,0,36.5,244,518,978,39.5,37.2,198,66.7,47.7,406,18,43,23
Brighton,eng Premier League,38,50,45,56.8,52.2,62,165,105,12,12,14,6,2,51.1,102,274,1278,20.3,24.4,254,5.9,12,405,24,72,15.8
Burnley,eng Premier League,38,40,37,40.6,38.3,78,244,168,5,9,24,6,3,75.8,215,825,1826,35.6,34.3,284,61.6,44.7,562,50,74,17.2
Cádiz,es La Liga,38,25,22,36,33.6,55,175,121,6,15,17,2,1,51.7,364,910,991,62.8,49.3,342,84.2,60.7,617,60,45,7
Cagliari,it Serie A,38,41,37,42.9,38.4,68,157,92,8,12,18,4,3,56.2,202,544,838,42.1,64,312,61.2,45.9,583,28,24,
Celta Vigo,es La Liga,38,45,42,50.7,46.9,57,164,109,10,11,17,6,3,56,176,494,811,38.3,35.5,312,58.7,45.4,556,28,36,13.3
Chelsea,eng Premier League,38,76,65,74.5,65.1,63,186,125,18,9,11,3,3,52.5,128,361,1129,22.5,28.1,282,37.9,32.6,514,39,47,15.8
Clermont Foot,fr Ligue 1,34,26,20,36,29.8,60,212,152,5,10,19,7,1,64.9,226,613,1138,43.7,30.9,275,42.2,34.5,514,46,49,10.1
Crystal Palace,eng Premier League,38,56,52,48.6,45.4,58,154,98,13,10,15,3,2,47.5,176,605,826,51.8,41.2,255,69.4,49.2,586,30,29,11.2
Darmstadt 98,de Bundesliga,34,28,25,32.3,30,86,215,130,3,8,23,1,2,74.3,278,690,1333,36.8,34.8,310,64.5,49.3,504,27,60,16.5
Dortmund,de Bundesliga,34,68,62,63.5,58.8,43,145,103,18,9,7,5,2,44.6,133,349,1267,20.8,28.3,269,31.6,30.7,466,15,24,14.5
Eint Frankfurt,de Bundesliga,34,48,46,46.2,44.4,50,146,94,11,14,9,9,0,49.7,106,390,976,30.4,34.4,277,33.6,31.4,485,20,34,15.7
Empoli,it Serie A,38,26,21,36.2,32.4,54,185,130,9,9,20,6,1,48.9,162,542,1031,39.8,26.3,309,42.7,37.7,645,42,31,21
Everton,eng Premier League,38,40,38,54,51.6,51,165,117,13,9,16,8,3,52.4,360,901,1296,56.7,41.6,274,60.6,48.2,570,30,54,15.9
Fiorentina,it Serie A,38,60,56,51.7,45.4,46,148,101,17,9,12,8,0,46.2,191,458,1257,29.5,31,209,41.6,37,353,8,32,19.5
Freiburg,de Bundesliga,34,43,36,49.4,42.4,58,158,99,11,9,14,3,1,50,193,568,1103,36.8,34.2,286,56.6,45.2,485,31,30,13.6
Frosinone,it Serie A,38,44,36,45.8,37.9,69,180,112,8,11,19,5,2,53.4,90,416,956,34.6,37.2,316,26.9,27.1,538,22,26,14.3
Fulham,eng Premier League,38,54,52,50.8,49.2,61,190,133,13,8,17,8,4,55.7,144,439,1272,25.5,28.5,301,38.2,33,472,19,40,14.2
Genoa,it Serie A,38,43,38,35.7,31,45,139,94,12,13,13,3,1,41.6,245,634,1174,43.6,35.9,325,37.5,32.2,609,48,41,12.2
Getafe,es La Liga,38,42,36,45.7,40.2,54,173,118,10,13,15,5,0,55.2,341,915,977,66.6,39.2,322,82,56.2,463,18,62,10.7
Girona,es La Liga,38,84,77,70.8,64.6,46,168,121,25,6,7,5,0,51.1,155,420,1074,27.1,30,312,41.3,37.9,534,41,33,13.2
Gladbach,de Bundesliga,34,55,50,46.5,41.8,67,207,140,7,13,14,6,0,58.4,144,405,1059,28.7,32.3,266,38,33.6,538,28,34,15.3
Granada,es La Liga,38,35,30,42.6,36.4,79,203,126,4,9,25,5,2,70.2,231,626,1096,40.1,35.7,293,63.8,47.9,536,33,52,17.3
Heidenheim,de Bundesliga,34,46,44,39.4,37,55,174,121,10,12,12,7,3,53.6,249,595,1162,35.3,35.9,318,58.2,46,495,24,17,13.2
Hellas Verona,it Serie A,38,38,35,38,32.4,51,163,113,9,11,18,2,1,43.5,331,791,983,55.6,49.5,319,76.5,55.3,492,22,45,18
Hoffenheim,de Bundesliga,34,65,59,53.6,49,66,211,143,13,7,14,2,1,68.6,208,529,1112,35.2,32.7,296,46.6,39.6,545,31,73,16.7
Inter,it Serie A,38,87,74,78.2,67.4,22,113,90,29,7,2,2,0,29.2,111,252,1196,16.9,25.2,249,20.1,25.8,453,24,16,
Juventus,it Serie A,38,52,49,54.6,50.6,31,116,86,19,14,5,2,2,30.1,154,360,768,36.6,29.4,321,24.6,28.7,601,28,23,16.7
Köln,de Bundesliga,34,28,23,39.3,34.7,60,168,108,5,12,17,3,0,62,135,372,1037,31.4,31.4,260,17.7,23.9,504,14,21,13.4
Las Palmas,es La Liga,38,33,30,33.2,29.2,47,156,109,10,10,18,5,3,51.2,146,473,1733,23.3,30.4,265,26.4,27.1,545,30,100,18
Lazio,it Serie A,38,46,42,46.5,43.4,39,148,109,18,7,13,2,0,38.3,139,366,985,29.5,37.7,301,24.9,28.1,476,21,23,13.1
Le Havre,fr Ligue 1,34,33,27,37.3,31.8,45,158,114,7,11,16,2,2,49.9,158,463,709,45.7,33.1,251,55.4,40.9,482,32,25,14.5
Lecce,it Serie A,38,30,27,43.1,39.2,54,173,119,8,14,16,5,1,53.2,152,489,801,46.7,34.9,340,33.8,29.1,522,20,20,11
Lens,fr Ligue 1,34,45,39,54.1,48.8,37,138,101,14,9,11,6,1,43.3,164,379,923,33.3,29,221,32.6,29.1,396,32,39,9.8
Leverkusen,de Bundesliga,34,87,79,73.6,67.6,24,105,81,28,6,0,0,0,27.9,71,202,715,20.3,22.1,183,31.1,31.2,316,28,40,15
Lille,fr Ligue 1,34,50,48,48.6,46.2,34,128,94,16,11,7,3,2,37.5,106,360,1030,28.7,35.9,190,33.7,32.7,399,27,32,15
Liverpool,eng Premier League,38,80,74,87.8,80.4,41,147,108,24,10,4,1,2,40,92,285,1348,17,24.7,228,24.6,27.5,376,18,46,17.7
Lorient,fr Ligue 1,34,41,40,37.2,36.4,66,207,142,7,8,19,8,1,63.1,139,378,850,30.5,31.4,299,39.8,33.8,591,24,13,8.9
Luton Town,eng Premier League,38,49,44,42.4,38.6,85,223,142,6,8,24,4,4,77.7,274,814,1122,52.4,50.8,349,64.8,46.8,561,16,77,19
Lyon,fr Ligue 1,34,48,44,49.8,46.9,55,169,114,16,5,13,4,1,48.1,137,386,890,33.5,32.4,249,35.3,31.9,470,39,31,12.4
Mainz 05,de Bundesliga,34,38,37,44.6,40.7,51,145,95,7,14,13,3,1,51.7,198,570,985,46.6,34.7,207,53.6,43.6,431,46,50,11.3
Mallorca,es La Liga,38,33,32,40.5,38.2,44,148,104,8,16,14,4,1,43.6,333,824,981,61,33,332,68.1,51.3,520,34,29,7
Manchester City,eng Premier League,38,94,85,80.5,72.9,34,109,76,28,7,3,3,1,36.2,142,314,1342,19.7,27.9,158,31,31.9,312,31,63,16.8
Manchester Utd,eng Premier League,38,57,51,56.5,51,58,203,146,18,6,14,7,1,59.1,149,513,1184,35.4,31.2,329,28.6,26,601,42,37,12.9
Marseille,fr Ligue 1,34,50,46,54.9,51.8,41,130,90,13,11,10,3,1,33.8,98,337,1022,26.3,28.4,222,30.6,29.4,430,19,26,10.4
Metz,fr Ligue 1,34,35,31,34.2,29.7,58,188,130,8,5,21,6,0,53.1,215,682,727,57.1,36.4,299,89.3,59.1,583,47,22,3
Milan,it Serie A,38,76,70,66.2,60,49,163,115,22,9,7,8,1,42.7,146,351,1248,22.9,29.2,273,23.8,26.9,440,43,46,11.9
Monaco,fr Ligue 1,34,66,64,55,50.9,42,151,110,20,7,7,5,2,46.7,121,370,813,32.3,32,229,46.7,37.9,442,35,26,11
Montpellier,fr Ligue 1,34,41,34,46,40.9,48,171,125,10,12,12,4,3,47.7,168,497,851,45.9,38,292,36.3,33.2,527,32,13,9.6
Monza,it Serie A,38,38,34,39.5,35.9,51,191,138,11,12,15,7,0,59.8,197,486,1223,28.9,30.6,319,41.7,37.5,531,22,21,16.8
Nantes,fr Ligue 1,34,30,26,37.6,33.6,55,156,101,9,6,19,9,0,55.2,175,515,965,37,40.3,259,61,45.6,505,41,33,7.8
Napoli,it Serie A,38,54,48,61.4,53.3,48,128,78,13,14,11,2,0,46.1,83,242,955,19.9,17,226,23,27.9,417,14,41,37
Newcastle Utd,eng Premier League,38,83,75,76,69,62,195,133,18,6,14,4,1,61,100,301,803,18.8,36.3,281,53.4,40.5,449,30,53,19.5
Nice,fr Ligue 1,34,39,33,49.9,44.4,29,105,74,15,10,9,5,1,30.7,74,189,1025,15.2,23.9,208,15.9,22.3,376,32,21,12.2
Nott'ham Forest,eng Premier League,38,49,48,49.9,49.1,67,163,98,9,9,20,4,2,47.2,229,519,818,42.5,35.7,304,56.3,41.4,611,44,24,13.3
Osasuna,es La Liga,38,45,41,40.5,36.6,56,152,95,12,9,17,1,0,51.8,329,771,1071,55.2,40.4,308,58.4,43.4,537,30,58,16.4
Paris S-G,fr Ligue 1,34,78,71,68.8,61.6,33,147,113,22,10,2,4,0,41,54,149,879,13.8,23.5,202,13.9,22.6,402,17,33,16.3
Rayo Vallecano,es La Liga,38,29,23,42.3,37.7,48,151,104,8,14,16,1,2,47.8,170,613,915,46.3,36.3,320,59.1,47.8,534,23,40,17
RB Leipzig,de Bundesliga,34,74,70,65.6,60.2,39,117,79,19,8,7,4,1,35.6,79,234,1189,14.2,25.7,237,27.4,30.8,426,23,51,17.6
Real Madrid,es La Liga,38,85,83,68.8,65.2,26,118,93,29,8,1,1,1,34.4,79,210,952,17.1,25.2,291,16.2,24.3,487,35,38,12.2
Real Sociedad,es La Liga,38,48,44,44.9,41.8,39,135,96,16,12,10,6,1,40.8,192,465,1099,31.8,37,199,58.3,45.6,410,19,58,20.1
Reims,fr Ligue 1,34,40,37,44.5,41.3,47,137,90,13,8,13,6,1,42.7,124,353,1050,27,30.1,242,28.5,28.2,522,38,46,14.2
Rennes,fr Ligue 1,34,53,43,53.1,44.5,46,147,104,12,10,12,3,3,38.2,134,416,1001,30.4,31.5,208,53.8,40.5,451,36,37,15.1
Roma,it Serie A,38,64,53,51.4,42.3,46,151,107,18,9,11,3,3,43.6,134,327,945,25.1,25.3,289,31.1,29.7,517,32,15,12
Salernitana,it Serie A,38,32,30,30.3,28.7,81,207,128,2,11,25,10,2,68.1,183,647,858,49.7,44.9,345,64.1,46.6,631,15,31,7.6
Sassuolo,it Serie A,38,42,35,39.8,33.8,75,173,101,7,9,22,8,4,56.9,189,585,987,45.9,37.8,347,38,33.5,582,26,30,18.6
Sevilla,es La Liga,38,46,44,44.9,43.3,54,175,123,10,11,17,5,2,53.5,224,613,920,43.8,39.4,288,72.9,53.4,520,31,32,13.5
Sheffield Utd,eng Premier League,38,31,26,38.3,34.4,104,263,166,3,7,28,5,7,85.2,271,818,988,55.3,41.2,352,77.3,54,661,39,56,14.4
Strasbourg,fr Ligue 1,34,36,33,41.8,38.7,50,125,77,10,9,15,4,3,39.7,144,409,860,40.6,34.5,259,23.2,26.6,460,25,40,13.9
Stuttgart,de Bundesliga,34,78,73,70.9,64.6,39,129,93,23,4,7,3,3,35.8,148,352,1180,26.1,31,214,20.6,23.4,396,31,62,16.6
Torino,it Serie A,38,35,33,37.7,36.1,36,143,107,13,14,11,7,0,37.3,274,812,1370,44.2,31.1,273,75.8,59.9,431,41,40,12
Tottenham,eng Premier League,38,69,67,68.2,66.7,61,167,109,20,6,12,7,3,60,53,225,1308,14.9,24,256,11.7,19.4,511,33,81,17.1
Toulouse,fr Ligue 1,34,42,36,40.3,33.3,46,139,93,11,10,13,4,0,45.3,92,285,643,29.9,29.3,252,36.9,32.3,490,7,16,10.7
Udinese,it Serie A,38,36,33,39.1,36.8,53,157,105,6,19,13,9,1,49.6,156,431,597,45.9,32.3,300,52.3,42.5,647,12,9,13.1
Union Berlin,de Bundesliga,34,33,30,40.1,35.3,58,168,109,9,6,19,5,1,52.9,202,535,1081,36.4,34.1,269,52.4,41,552,54,37,5
Valencia,es La Liga,38,39,31,43.1,36.2,45,160,114,13,10,15,3,2,51.4,191,696,883,58.2,40.5,275,66.2,49.9,561,46,32,11.4
Villarreal,es La Liga,38,64,59,55.6,50.1,65,214,150,14,11,13,6,1,61.7,150,378,1015,26.8,30.2,354,29.9,29.8,688,35,36,5.3
Werder Bremen,de Bundesliga,34,45,40,46.9,42,54,166,113,11,9,14,6,1,54.1,176,415,1069,32.3,34.2,298,23.5,28.6,516,41,39,14.4
West Ham,eng Premier League,38,58,54,52.3,48.4,74,241,169,14,10,14,8,4,72,210,553,793,46.8,39,307,59.3,43.4,582,35,8,7.6
Wolfsburg,de Bundesliga,34,41,39,39.2,36.7,56,151,98,10,7,17,2,3,47.8,201,494,989,37.7,32.8,258,46.9,38.1,462,26,41,12.1
Wolves,eng Premier League,38,47,43,46.7,43.6,65,203,139,13,7,18,8,1,71.7,100,480,933,34.3,33.8,305,52.5,40,572,45,31,13.3
